SUBSTANCE	DEA NUMBER	CSA SCH	NARC	OTHER NAMES
methohexital	2264	IV	N	brevital
methyl 2-(1-(4-fluorobenzyl)-1hindazole-3-carboxamido)-3- methylbutanoate­	7021	I	N	fub–amb, mmb– fubinaca, amb–fubinaca
methyl 2-(1-(5-fluoropentyl)-1h-indole-3-carboxamido)­-3		3-dimethylbutanoate	7041	i
methyldesorphine	9302	I	Y	
methyldienolone (17alpha-methyl-17beta-hydroxyestra-4		9(10)-dien-3-one)­	4000	iii
methyldihydromorphine	9304	I	Y	
methylone (3,4-methylenedioxy-n-methylcathinone)	7540	I	N	(positional isomer: 2,3-methylenedioxymethcathinone (2,3-mdmc, 1­­-(benzo[d][1,3]dioxol-4-yl)-2-(methylamino)propan-1­-one))
methylphenidate	1724	II	N	concerta, ritalin, methylin
methylphenobarbital (mephobarbital)	2250	IV	N	mebaral, mephobarbital
methyltestosterone (17alpha-methyl-17beta-hydroxyandrost-4-en-3-one)­	4000	III	N	android, oreton, testred, virilon
methyltrienolone (17alpha-methyl-17beta-hydroxyestra-4	9	11-trien-3-one)­	4000	iii
methyprylon	2575	III	N	noludar
metopon	9260	II	Y	
mibolerone (7alpha,17alpha-dimethyl-17beta­-hydroxyestr-4-en-3-one)	4000	III	N	cheque, matenon
midazolam	2884	IV	N	versed
mmb-chmica, amb-chmica (methyl 2-(1-(cyclohexylmethyl)-1 h-indole-3-carboxamido)-3­-methylbutanoate)	7044	I	N	
modafinil	1680	IV	N	provigil
moramide-intermediate	9802	II	Y	
morpheridine	9632	I	Y	
morphine	9300	II	Y	ms contin, roxanol, oramorph, rms, msir
morphine combination product/50 mg/(100 ml or 100 gm)	9810	III	Y	
morphine methylbromide	9305	I	Y	
morphine methylsulfonate	9306	I	Y	
morphine-n-oxide	9307	I	Y	
mt-45 (1-cyclohexyl-4-(1,2-diphenylethyl)piperazine))	9560	I	Y	mt-45
myrophine	9308	I	Y	
n-(1-phenethylpiperidin-4-yl)-n-phenyltetrahydrofuran­ 2-carboxamide	9843	I	Y	tetrahydrofuranyl fentanyl
N-(2-fluorophenyl)-N-(1-phenethylpiperidin-4­ yl)propionamide	9816	I	Y	Ortho-fluorofentanyl or 2-fluorofentanyl
N-(Adamantan-1-yl)-1-(4-fluorobenzyl)-1H-indazole-3­ carboxamide	7047	I	N	FUB-AKB48; FUB-APINACA; AKB48 N-(4­ FLUOROBENZYL)
n,n-dimethylamphetamine	1480	I	N	n,n-dimethylamphetamine
Nabilone	7379	II	N	Cesamet
Nalorphine	9400	III	Y	Nalline
Nandrolone (17beta-hydroxyestr-4-en-3-one)	4000	III	N	Deca-Durabolin, Durabolin, Durabolin-50
Naphyrone	1258	I	N	naphthylpyrovalerone; 1-(naphthalen-2-yl)-2­ (pyrrolidin-1-yl)pentan-1-one) (Positional Isomer: α- naphyrone)
N-Benzylpiperazine	7493	I	N	BZP, 1-benzylpiperazine
N-Ethyl-1-phenylcyclohexylamine	7455	I	N	PCE
N-Ethyl-3-piperidyl benzilate	7482	I	N	JB 323
N-Ethylamphetamine	1475	I	N	NEA
n-ethylhexedrone	7246	I	N	n-ethylhexedrone
N-Ethylpentylone  (1-(1,3-benzodioxol-5-yl)-2­ (ethylamino)-pentan-1-one)	7543	I	N	Ephylone
N-Hydroxy-3,4-methylenedioxyamphetamine	7402	I	N	N-hydroxy MDA
nicocodeine	9309	I	Y	nicocodeine
Nicomorphine	9312	I	Y	Vilan
Nimetazepam	2837	IV	N	Erimin
Nitrazepam	2834	IV	N	Mogadon
nm2201; cbl2201 (naphthalen-1-yl 1-(5-fluoropentyl)­ 1 h-indole-3-carboxylate)	7221	I	N	nm2201; cbl2201 (naphthalen-1-yl 1-(5-fluoropentyl)­ 1 h-indole-3-carboxylate)
N-Methyl-3-piperidyl benzilate	7484	I	N	JB 336
noracymethadol	9633	I	Y	noracymethadol
Norbolethone (13beta,17alpha-diethyl-17beta­ hydroxygon-4-en-3-one)	4000	III	N	Genabol
Norclostebol (4-chloro-17beta-hydroxyestr-4-en-3-one	4000	III	N	Anabol-4-19, Lentabol
Nordiazepam	2838	IV	N	Nordazepam, Demadar, Madar
Norethandrolone (17alpha-ethyl-17beta-hydroxyestr-4­ en-3-one)	4000	III	N	Nilevar, Pronabol, Solevar
norlevorphanol	9634	I	Y	norlevorphanol
Normethadone	9635	I	Y	Phenyldimazone
Normethandrolone (17alpha-methyl-17beta­ hydroxyestr-4-en-3-one)	4000	III	N	Lutenin, Matronal, Orgasteron
normorphine	9313	I	Y	normorphine
noroxymorphone	9668	II	Y	noroxymorphone
norpipanone	9636	I	Y	norpipanone
Ocfentanil	9838	I	Y	N-(2-fluorophenyl)-2-methoxy-N-(1­ phenethylpiperidin-4-yl)acetamide
Opium combination product 25 mg/du	9809	III	Y	Paregoric, other combination products
opium extracts	9610	II	Y	opium extracts
opium fluid extract	9620	II	Y	opium fluid extract
Opium poppy	9650	II	Y	Papaver somniferum
opium preparations - 100 mg/(100 ml or 100 gm)		V	Y	parepectolin, kapectolin pg, kaolin pectin p.g.
Opium tincture	9630	II	Y	Laudanum
Opium, granulated	9640	II	Y	Granulated opium
Opium, powdered	9639	II	Y	Powdered opium
Opium, raw	9600	II	Y	Raw opium, gum opium
oripavine	9330	II	Y	oripavine
Oxandrolone (17alpha-methyl-17beta-hydroxy-2-oxa­ 5alpha-androstan-3-one)	4000	III	N	Anavar, Lonavar, Oxandrin, Provitar, Vasorome
Oxazepam	2835	IV	N	Serax, Serenid-D
Oxazolam	2839	IV	N	Serenal, Convertal
Oxycodone	9143	II	Y	OxyContin, Percocet, Endocet, Roxicodone, Roxicet,
Oxymesterone (17alpha-methyl-4,17beta­ dihydroxyandrost-4-en-3-one)	4000	III	N	Anamidol, Balnimax, Oranabol, Oranabol 10
Oxymetholone (17alpha-methyl-2-hydroxymethylene­ 17beta-hydroxy-5alpha-androstan-3-one)	4000	III	N	Anadrol-50, Adroyd, Anapolon, Anasteron, Pardroyd
Oxymorphone	9652	II	Y	Numorphan
Para-chloroisobutyryl fentanyl	9826	I	Y	N-(4-chlorophenyl)-N-(1-phenethylpiperidin-4­ yl)isobutyramide
Para-fluorobutyryl fentanyl	9823	I	Y	N-(4-fluorophenyl)-N-(1-phenethylpiperidin-4­ yl)butyramide
Para-Fluorofentanyl	9812	I	Y	China White, fentanyl
Parahexyl	7374	I	N	Synhexyl,
Paraldehyde	2585	IV	N	Paral
Para-methoxybutyryl fentanyl	9837	I	Y	N-(4-methoxyphenyl)-N-(1-phenethylpiperidin-4­ yl)butyramide
PB-22 (Quinolin-8-yl 1-pentyl-1H-indole-3-carboxylate)	7222	I	N	QUPIC; PB-22
Pemoline	1530	IV	N	Cylert
Pentazocine	9709	IV	N	Talwin, Talwin NX, Talacen, Talwin Compound
Pentedrone  (α-methylaminovalerophenone)	1246	I	N	2-(methylamino)-1-phenylpentan-1-one)(Positional Isomers:3-methylethcathinone (3-MEC), 4­ ethylmethcathinone (4-EMC), 4-methylbuphedrone (4-MeMABP;4-MeBP), 3,4-dimethylmethcathinone (3,4-DMMC),N-ethylbuphedrone (NEB),N-ethyl-N­ methylcathinone(EMC))
Pentobarbital	2270	II	N	Nembutal
Pentobarbital & noncontrolled active ingred.	2271	III	N	FP-3
pentobarbital suppository dosage form	2271	III	N	wans
pentylone	7542	I	N	bk-mbdp; 1-(1,3-benzodioxol-5-yl)-2­ (methylamino)pentan-1-one) (positional isomers: dibutylone (bk-dmbdb), eutylone, and propylone (3',4'-methylenedioxy-n-propylaminocathinone, 1­ (benzo[d][1,3]dioxol-5-yl)-2-(propylamino)propan-1­ one))
perampanel	2261	III	N	fycompa, [2-(2-oxo-l-phenyl­ 5-pyridin-2-yl-l ,2-dihydropyridin-3-yl) benzonitrile ]
petrichloral	2591	IV	N	pentaerythritol chloral, periclor
peyote	7415	I	N	cactus which contains mescaline
phenadoxone	9637	I	Y	
phenampromide	9638	I	Y	
phenazocine	9715	II	Y	narphen, prinadol
phencyclidine	7471	II	N	pcp, sernylan
phendimetrazine	1615	III	N	plegine, prelu-2, bontril, melfiat, statobex
phenmetrazine	1631	II	N	preludin
phenobarbital	2285	IV	N	luminal, bellergal-s
phenomorphan	9647	I	Y	
phenoperidine	9641	I	Y	operidine, lealgin
phentermine	1640	IV	N	ionamin, fastin, adipex-p, obe-nix, zantryl
phenylacetone	8501	II	N	p2p, phenyl-2-propanone, benzyl methyl ketone
pholcodine	9314	I	Y	copholco, adaphol, codisol, lantuss, pholcolin
piminodine	9730	II	Y	
pinazepam	2883	IV	N	domar
pipradrol	1750	IV	N	detaril, stimolag fortis
piritramide	9642	I	Y	piridolan
poppy straw	9650	II	Y	opium poppy capsules, poppy heads
poppy straw concentrate	9670	II	Y	concentrate of poppy straw, cps
prazepam	2764	IV	N	centrax
pregabalin	2782	V	N	lyrica
proheptazine	9643	I	Y	
properidine	9644	I	Y	
propiram	9649	I	Y	algeril
prostanozol (17beta-hydroxy-5alpha-androstano[3,2­ c]pyrazole)	4000	III	N	prostanozol;  [3,2-c]pyrazole-5α-androstan-17β-ol
psilocybin	7437	I	N	"constituent of ""magic mushrooms"""
psilocyn	7438	I	N	"psilocin, constituent of ""magic mushrooms"""
pyrovalerone	1485	V	N	centroton, thymergix
quazepam	2881	IV	N	doral
pentobarbital suppository dosage form	2271	III	N	wans
pentylone	7542	I	N	bk-mbdp; 1-(1,3-benzodioxol-5-yl)-2­ (methylamino)pentan-1-one) (positional isomers: dibutylone (bk-dmbdb), eutylone, and propylone (3',4'-methylenedioxy-n-propylaminocathinone, 1­ (benzo[d][1,3]dioxol-5-yl)-2-(propylamino)propan-1­ one))
perampanel	2261	III	N	fycompa, [2-(2-oxo-l-phenyl­ 5-pyridin-2-yl-l ,2-dihydropyridin-3-yl) benzonitrile ]
petrichloral	2591	IV	N	pentaerythritol chloral, periclor
racemethorphan	9732	II	Y	
racemoramide	9645	I	Y	
racemorphan	9733	II	Y	dromoran
remifentanil	9739	II	Y	ultiva
secobarbital	2315	II	N	seconal, tuinal
secobarbital & noncontrolled active ingred	2316	III	N	
secobarbital suppository dosage form	2316	III	N	
sibutramine	1675	IV	N	meridia
spa	1635	IV	N	1-dimethylamino-1,2-diphenylethane, lefetamine
sr-18 (also known as rcs-8) (1-cyclohexylethyl-3-(2­ methoxyphenylacetyl) indole)	7008	I	N	sr-18 and rcs-8
sr-19 (also known as rcs-4) (1-pentyl-3-[(4­ methoxy)-benzoyl] indole	7104	I	N	sr-19 and rcs-4
stanozolol (17alpha-methyl-17beta-hydroxy-5alpha­ androst-2-eno[3,2-c]-pyrazole)	4000	III	N	winstrol, winstrol-v
stenbolone (17beta-hydroxy-2-methyl--5alpha-androst­ 1-en-3-one)	4000	III	N	
stimulant compounds previously excepted	1405	III	N	mediatric
sufentanil	9740	II	Y	sufenta
sulfondiethylmethane	2600	III	N	
sulfonethylmethane	2605	III	N	
sulfonmethane	2610	III	N	
suvorexant	2223	IV	N	mk-4305, [(7r)-4-(5-chloro-1,3-benzoxazol-2-yl)-7­ methyl-1,4-diazepan-1-yl][5-methyl-2-(2h-1,2,3­ triazol-2-yl)phenyl]methanone
talbutal	2100	III	N	lotusate
tapentadol	9780	II	Y	
temazepam	2925	IV	N	restoril
testolactone (13-hydroxy-3-oxo-13,17-secoandrosta­ 1,4-dien-17-oic acid lactone)	4000	III	N	teolit, teslac
testosterone (17beta-hydroxyandrost-4-en-3-one)	4000	III	N	android-t, androlan, depotest, delatestryl
tetrahydrocannabinols	7370	I	N	thc, delta-8 thc, delta-9 thc, dronabinol and others
tetrahydrogestrinone (13beta,17alpha-diethyl-17beta­ hydroxygon-4,9,11-trien-3-one)	4000	III	N	thg
tetrazepam	2886	IV	N	myolastan, musaril
thebacon	9315	I	Y	acetylhydrocodone, acedicon, thebacetyl
thebaine	9333	II	Y	precursor of many narcotics
thiafentanil	9729	II	Y	thianil
thiamylal	2100	III	N	surital
thiofentanyl	9835	I	Y	chine white, fentanyl
Thiopental	2100	III	N	Pentothal
THJ-2201 [1-(5-fluoropentyl)-1H-indazol-3-yl](naphthalen-1-yl)methanone­	7024	I	N	THJ-2201
Tiletamine & Zolazepam Combination Product	7295	III	N	Telazol
Tilidine	9750	I	Y	Tilidate, Valoron, Kitadol, Lak, Tilsa
tramadol (2-[(dimethylamino)methyl]-1-(3­-methoxyphenyl)cyclohexanol)	9752	IV	Y	tramadol
Trenbolone (17beta-hydroxyestr-4,9,11-trien-3-one)	4000	III	N	Finaplix-S, Finajet, Parabolan
Triazolam	2887	IV	N	Halcion
Trimeperidine	9646	I	Y	Promedolum
U-47700 (3,4-dichloro-N-[2-(dimethylamino)cyclohexyl]­-N-methylbenzamide)	9547	I	Y	U-47700
UR-144 (1-Pentyl-1H-indol-3-yl)(2,2,3,3­-tetramethylcyclopropyl)metanone	7144	I	N	UR-144
Valeryl fentanyl	9840	I	Y	N-(1-phenethylpiperidin-4-yl)-N-phenylpentanamide
Vinbarbital	2100	III	N	Delvinal, vinbarbitone
Zaleplon	2781	IV	N	Sonata
Zolpidem	2783	IV	N	Ambien, Ivadal, Stilnoct, Stilnox
Zopiclone	2784	IV	N	Lunesta
